指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
港区,海岸１丁目,-,東京都港区海岸1-10-48,35.65701,139.7619,JR東日本アートセンター　四季劇場〔春〕,03-5776-6730,https://www.shiki.jp/theatres/gr/shiki/,,,,,,,,,,,ホール・劇場
港区,海岸１丁目,-,東京都港区海岸1-10-48,35.65701,139.7619,JR東日本アートセンター　四季劇場〔秋〕,03-5776-6730,https://www.shiki.jp/theatres/gr/shiki/,,,,,,,,,,,ホール・劇場
港区,海岸１丁目,-,東京都港区海岸1-10-53,35.65701,139.7619,JR東日本アートセンター　自由劇場,03-5776-6730,https://www.shiki.jp/theatres/4008/,,,,,,,,,,,ホール・劇場
港区,海岸１丁目,-,東京都港区海岸1-11-1,35.65524,139.76341,NEW PIER HALL,03-3578-0041,http://www.newpier-hall.jp/,796,900,オープン形式,アリーナ・平土間形式,"ロールバックチェア, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～21:00,ホール・劇場
港区,港南２丁目,-,東京都港区港南2-15-4,35.62634,139.742,品川インターシティホール,03-3474-0461,https://sic-hall.com,700,1000,仮設,アリーナ・平土間形式,可動席（スタッキングチェア）,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～20:00,ホール・劇場
港区,港南２丁目,-,東京都港区港南2-16-4,35.62649,139.74068,THE GRAND HALL,03-5463-9971,http://www.tg-hall.com/,500,500,オープン形式,アリーナ・平土間形式,"ロールバックチェア, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, 記者発表会, 株主総会, 研修、会議","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, 記者発表会, 株主総会, 研修、会議",一般に貸出している,,9:00～20:00,ホール・劇場
港区,高輪１丁目,-,東京都港区高輪1-16-25,35.64091,139.73421,港区高輪区民センター〔区民ホール〕,03-5421-7616,https://foryou.or.jp/facility/takanawa/w079/,,,,,,,,,,,ホール・劇場
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.62857,139.73698,品川プリンスホテル　Club eX（クラブエックス）,03-3440-1111,http://www.princehotels.co.jp/shinagawa/clubex/,430,430,オープン形式,"アリーナ・平土間形式, 扇型形式","固定席, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, e-スポーツ","ポップス, クラシック, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, e-スポーツ",利用条件の設定,,9:00～22:00,ホール・劇場
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.62857,139.73698,品川プリンスホテル　ステラボール,03-3440-1111,http://www.princehotels.co.jp/shinagawa/stellarball/,876,1326,オープン形式,シューボックス形式,"ロールバックチェア, 可動席（スタッキングチェア）, 立ち見","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, 発表会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",利用条件の設定,,9:00～22:00,ホール・劇場
港区,高輪４丁目,-,東京都港区高輪4-24-40,35.62543,139.73526,ＡＭＢＩＥＮＴＥ,03-3443-1524,http://www.p-garten.co.jp/ambiente/,120,120,プロセニアム形式,シューボックス形式,固定席,"クラシック, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, バレエ, オペラ, 合唱, 映像上映会（試写会など）, 講演会, 展示会","クラシック, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, 講演会, 展示会",一般に貸出している,,,ホール・劇場
港区,三田５丁目,-,東京都港区三田5-2-30,35.6476,139.73773,白金高輪SELENE STUDIO・STUDIO b2,03-6809-5923,http://www.selene.studio/,,,,,,,,,,,ホール・劇場
港区,芝５丁目,-,東京都港区芝5-26-20,35.64751,139.7459,建築会館ホール,03-3456-2016,http://www.aij.or.jp/ho-rugaiyoumousikomitetuduki.html,342,342,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"クラシック, 合唱, 映像上映会（試写会など）, 講演会, 展示会","合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～20:30,ホール・劇場
港区,芝浦１丁目,-,東京都港区芝浦1-16-1,35.6462,139.75166,港区立男女平等参画センター　リーブラ〔リーブラホール〕,03-3456-4149,https://www.minatolibra.jp/annai/,208,208,オープン形式,アリーナ・平土間形式,ロールバックチェア,"ポップス, クラシック, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","クラシック, 演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",利用条件の設定,,9:00～21:30,ホール・劇場
港区,芝浦４丁目,-,東京都港区芝浦4-13-1,35.64036,139.74835,芝浦港南区民センター〔区民ホール〕,03-3769-8864,https://www.kisport.or.jp/sisetu/shibaura-konan/index.html,235,235,オープン形式,シューボックス形式,ロールバックチェア,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",利用条件の設定,-,9:00～21:30,ホール・劇場
港区,芝公園４丁目,-,東京都港区芝公園4-4-7,35.65757,139.74509,Ｓｔａｒ Ｒｉｓｅ Ｔｏｗｅｒ〔STUDIO EARTH〕,03-6721-5450,http://starrise-tower.com/archives/rental/studio-earth,,,,,,,,,,,ホール・劇場
港区,芝公園４丁目,-,東京都港区芝公園4-4-7,35.65757,139.74509,Ｓｔａｒ Ｒｉｓｅ Ｔｏｗｅｒ〔STUDIO JUPITER〕,03-6721-5450,http://starrise-tower.com/archives/rental/studio-earth,,,,,,,,,,,ホール・劇場
港区,西麻布１丁目,-,東京都港区西麻布1-2-9,35.66137,139.72711,ＥＸ ＴＨＥＡＴＥＲ ＲＯＰＰＯＮＧＩ,03-6406-2222,http://www.ex-theater.com,920,1746,オープン形式,シューボックス形式,"固定席, ロールバックチェア, 可動席（スタッキングチェア）",,,利用条件の設定,個人への貸出不可、法人に限る。,9:00～22:00,ホール・劇場
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-13-1,35.66667,139.74144,サントリーホール〔大ホール〕,03-3505-1001,http://suntory.jp/HALL/,2006,2006,オープン形式,ヴィンヤード形式,固定席,"クラシック, ジャズ, 日本の伝統音楽（邦楽等）, オペラ, 合唱","クラシック, 合唱",利用条件の設定,-,9:00～22:00,ホール・劇場
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-13-1,35.66667,139.74144,サントリーホール〔ブルーローズ（小ホール）〕,03-3505-1001,http://suntory.jp/HALL/,最大432,最大432,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"クラシック, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, パーティー会場, -","クラシック, 日本の伝統音楽（邦楽等）, 合唱, 映像上映会（試写会など）, 講演会, パーティー会場",利用条件の設定,-,9:00～22:00,ホール・劇場
港区,赤坂２丁目,赤坂,東京都港区赤坂2-14-1,35.67206,139.73711,赤坂ＣＬＵＢ ＴＥＮＪＩＫＵ,03-3560-2040,http://www.clubtenjiku.jp/,,,,,,,,,,,ホール・劇場
港区,赤坂３丁目,赤坂,東京都港区赤坂3-10-9,35.67594,139.73682,赤坂RED/THEATER,03-5575-3474,http://www.red-theater.net/,176,176,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会","クラシック, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会",一般に貸出している,,10:00～22:30,ホール・劇場
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7,35.67484,139.73734,ＣＲＡＷＦＩＳＨ,03-3584-2496,http://crawfish.jp/,,,,,,,,,,,ホール・劇場
港区,赤坂４丁目,赤坂,東京都港区赤坂4-18-13,35.6749,139.73186,赤坂区民センター〔区民ホール〕,03-5413-2711,http://www.akasaka-civiccenter.jp/shisetsu/list_1.html,396,400,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",,利用条件の設定,-,9:00～21:30,ホール・劇場
港区,赤坂５丁目,赤坂,東京都港区赤坂5-3-2,35.67256,139.73517,TBS赤坂ACTシアター,03-3589-2277,http://www.tbs.co.jp/act/,1324,,プロセニアム形式,,固定席,"ポップス, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 映像上映会（試写会など）, -","ポップス, 演歌・歌謡曲, 演劇, ミュージカル, 歌舞伎, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 映像上映会（試写会など）, -",一般に貸出している,,,ホール・劇場
港区,赤坂５丁目,赤坂,東京都港区赤坂5-3-2,35.67256,139.73517,マイナビBLITZ赤坂,03-3584-8811,http://www.tbs.co.jp/blitz,,,,,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, 番組収録など。",ジャンル問わず。,,,,ホール・劇場
港区,赤坂６丁目,赤坂,東京都港区赤坂6-6-4,35.66994,139.73732,Jazz Dining B-flat,03-5563-2563,http//bflat.yamano-music.co.jp,150,100,オープン形式,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,ジャズ,ジャズ,一般に貸出している,,10:00～22:00,ホール・劇場
港区,赤坂７丁目,赤坂,東京都港区赤坂7-2-21,35.67384,139.72997,草月会館〔草月ホール〕,03-3408-9113,http://www.sogetsu.or.jp/know/hall/,530,,プロセニアム形式,扇型形式,"固定席, 可動席（スタッキングチェア）","ポップス, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会","ポップス, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
港区,赤坂７丁目,赤坂,東京都港区赤坂7-5-56,35.67202,139.73038,ドイツ文化会館 ＯＡＧホール,03-3582-7743,https://oag.jp/jp/veranstaltungsraeume-jp/,230,230,プロセニアム形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"ポップス, クラシック, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～21:00,ホール・劇場
港区,赤坂９丁目,六本木,東京都港区赤坂9-6-41,35.667,139.72849,BAR COREDO〔EVENT SPACE COREDO〕,03-6434-7808,http://www.barcoredo.com/,,,,,,"演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, レッスン",一般に貸出している,,10:30～23:00,ホール・劇場
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4,35.66602,139.73221,Ｂｉｌｌｂｏａｒｄ－ＬＩＶＥ東京,03-3405-1133,http://www.billboard-live.com/hall/t_index.html,,,,,,,,,,,ホール・劇場
港区,台場１丁目,-,東京都港区台場1-5-1,35.63018,139.77794,台場区民センター〔区民ホール〕,03-5500-2355,http://www.daiba-civiccenter.jp/shisetsu/list_1.html,240,240,オープン形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"クラシック, 演劇, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",利用条件の設定,,9:00～21:30,ホール・劇場
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-1-19,35.666,139.76027,ヤクルトホール,03-3574-7255,http://www.yakult.co.jp/hall/,,,,,,,,,,,ホール・劇場
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-7-2,35.66207,139.75912,日仏文化協会 汐留ホール,03-6255-4104,https://www.shiodomehall.com,83,,,,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, オペラ, 合唱, 講演会, 展示会",一般に貸出している,,10:00～21:00,ホール・劇場
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-8-2,35.66455,139.76227,大同生命ミュージカルシアター　電通四季劇場〔海〕,03-5776-6730,https://www.shiki.jp/theatres/gr/umi/,,,,,,,,,,,ホール・劇場
港区,南青山３丁目,-,東京都港区南青山3-2-2,35.6679,139.71733,南青山ＭＡＮＤＡＬＡ,03-5474-0411,http://www.mandala.gr.jp/aoyama.html,,,オープン形式,アリーナ・平土間形式,,,,一般に貸出している,,,ホール・劇場
港区,南青山４丁目,-,東京都港区南青山4-21-29,35.66362,139.7157,銕仙会能楽研修所,03-3401-2285,http://www.tessen.org,150,150,能舞台,能舞台,桟敷席・座布団,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, 展示会, ファッションショー, MV.映画撮影",能・狂言,一般に貸出している,,9:00～21:00,ホール・劇場
港区,南青山４丁目,-,東京都港区南青山4-9-1,35.6669,139.71811,青山月見ル君想フ,03-5474-8115,http://www.moonromantic.com/,,,,,,,,,,,ホール・劇場
港区,南青山５丁目,-,東京都港区南青山5-6-23,35.66357,139.71194,Restaurant Bar CAY,03-3498-5790,http://www.aoyama-cay.com,150,200,プロセニアム形式,,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 世界の民族音楽, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,10:00～24:00,ホール・劇場
港区,南青山５丁目,-,東京都港区南青山5-6-23,35.66357,139.71194,スパイラルホール,03-3498-5793,https://www.spiral.co.jp/rental/r_hall,372,,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",利用条件の設定,-,7:00～23:00,ホール・劇場
港区,南青山６丁目,-,東京都港区南青山6-10-12,35.65964,139.71568,Ｆｕｔｕｒｅ ＳＥＶＥＮ,03-6861-7777,http://future7.jp/,120,230,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 映像上映会（試写会など）, 講演会, 展示会, プレスリリース","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 映像上映会（試写会など）, 講演会, 展示会, プレスリリース",,,10:00～23:00,ホール・劇場
港区,南青山６丁目,-,東京都港区南青山6-3-16,35.66088,139.71628,ブルーノート東京,03-5485-0088,http://www.bluenote.co.jp,,,,,,,,,,,ホール・劇場
港区,六本木３丁目,六本木,東京都港区六本木3-13-14,35.66285,139.73389,ＢＩＲＤＬＡＮＤ,03-3402-3456,http://www.bird-land.co.jp/,70,120,,,,,,,,,ホール・劇場
港区,六本木３丁目,六本木,東京都港区六本木3-16-33,35.66235,139.73697,六本木クラップス,03-6421-1263,https://c-laps.jp/,80,80,オープン形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 記者会見, 企業イベント","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, 合唱, 映像上映会（試写会など）, 講演会, 記者会見, 企業イベント",利用条件の設定,主にプロミュージシャン、企業イベントなど,10:00～22:30,ホール・劇場
港区,六本木４丁目,六本木,東京都港区六本木4-9-2,35.66365,139.73242,俳優座劇場,03-3470-2880,http://www.haiyuzagekijou.co.jp/,,300,プロセニアム形式,シューボックス形式,固定席,演劇,演劇,一般への貸出はしていない,,9:00～21:30,ホール・劇場
港区,六本木５丁目,六本木,東京都港区六本木5-11-16,35.65844,139.7334,国際文化会館 岩崎小彌太記念ホール〔岩崎小彌太記念ホール〕,03-3470-4616,https://www.i-house.or.jp/facilities/banquet/hall/,180,180,,シューボックス形式,可動席（スタッキングチェア）,"クラシック, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, オペラ, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, パーティー","クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会, パーティー",一般に貸出している,,,ホール・劇場
港区,六本木５丁目,六本木,東京都港区六本木5-16-45,35.66081,139.73579,港区立麻布区民センター〔区民ホール〕,03-3583-5487,http://www.azabu-civiccenter.jp/shisetsu/list_1.html,237,237,プロセニアム形式,シューボックス形式,ロールバックチェア,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",利用条件の設定,-,9:00～21:00,ホール・劇場
港区,六本木６丁目,六本木,東京都港区六本木6-1-8,35.66245,139.73135,JAZZ RESTAURANT SATIN DOLL,03-3401-3080,http://www.leglant.com/satindoll/,,,,,,,,,,,ホール・劇場
港区,六本木６丁目,六本木,東京都港区六本木6-4-1,35.66142,139.72969,六本木ヒルズ　ハリウッドビューティプラザ〔ハリウッドホール〕,03-3408-5020,https://www.hollywood.ac.jp/hall/,1200,1200,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"クラシック, 演劇, ミュージカル, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, ヘアコンテスト, 撮影","クラシック, 演劇, ミュージカル, 映像上映会（試写会など）, 講演会, 展示会, ヘアコンテスト",一般に貸出している,,9:00～21:00,ホール・劇場
港区,六本木７丁目,六本木,東京都港区六本木7-14-23,35.66356,139.73137,ｎｉｃｏｆａｒｒｅ,03-3478-3750,http://nicofarre.jp/,,,,,,,,,,,ホール・劇場
港区,六本木７丁目,六本木,東京都港区六本木7-22-1,35.66402,139.72678,政策研究大学院大学　想海樓ホール,03-6439-6022,http://www.grips.ac.jp/jp/about/campus/,,,,,,,,,,,ホール・劇場
港区,芝浦３丁目,-,東京都港区芝浦3-4-1,35.64346,139.74605,田町グランパークカンファレンス〔田町グランパークカンファレンス〕,03-5441-2163,https:granpark-c.com,196,196,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",一般に貸出している,,0:00～24:00,ホール・劇場
港区,芝浦１丁目,-,東京都港区芝浦1-2-2,35.6498,139.75661,浜松町シーバンスホール,03-5730-0277,seavanshall.jp,200,200,,,可動席（スタッキングチェア）,"講演会, 展示会, 会議セミナー, パーティ懇談会","講演会, 展示会, 会議セミナー, パーティ懇談会",一般に貸出している,,0:00～24:00,ホール・劇場
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66021,139.7292,六本木ヒルズアリーナ,03-6406-6611,http://www.roppongihills.com/facilities/arena/,,,,,,,,,,7:00～23:00,野外会場
江東区,亀戸２丁目,-,東京都江東区亀戸2-19-1,35.69759,139.82455,江東区亀戸文化センター〔大研修室〕,03-5626-2121,https://www.kcf.or.jp/kameido/,126,126,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"演劇, 講演会","ポップス, クラシック, 演劇, 世界の民族音楽",一般に貸出している,,,ホール・劇場
江東区,亀戸２丁目,-,東京都江東区亀戸2-19-1,35.69759,139.82455,江東区亀戸文化センター〔カメリアホール〕,03-5626-2121,https://www.kcf.or.jp/kameido/,400,402,プロセニアム形式,シューボックス形式,ロールバックチェア,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, -, -, -","ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, -, -, -",一般に貸出している,,,ホール・劇場
江東区,古石場２丁目,-,東京都江東区古石場2-13-2,35.66718,139.79945,江東区古石場文化センター〔大研修室〕,03-5620-0224 ,https://www.kcf.or.jp/furuishiba/index.html,240,240,,,可動席（スタッキングチェア）,"ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
江東区,住吉２丁目,-,東京都江東区住吉2-28-36,35.68848,139.81819,江東公会堂 　ティアラこうとう〔大ホール〕,03-3635-5500,https://www.kcf.or.jp/tiara/,1228,1300,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
江東区,住吉２丁目,-,東京都江東区住吉2-28-36,35.68848,139.81819,江東公会堂 　ティアラこうとう〔小ホール〕,03-3635-5500,https://www.kcf.or.jp/tiara/,140,140,オープン形式,扇型形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
江東区,新木場１丁目,-,東京都江東区新木場1-6-24,35.64526,139.82741,新木場１ｓｔＲＩＮＧ,03-3521-1015,http://www.1st-ring.com/index.html,,284,オープン形式,アリーナ・平土間形式,"固定席, 可動席（スタッキングチェア）","ポップス, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, プロレスリング興行, 格闘技イベント, 映像収録場所","演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, プロレスリング興行",利用条件の設定,イベント内容が適しているか判断,16:00～22:00,ホール・劇場
