指標名,観光地,,,,,,,,,,
出典,Tripadvisor,,,,,,,,,,
年次,2023/1/16 取得,,,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件、2022年度：1922件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁目,エリア,住所,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL
港区,麻布台二丁目,-,東京都港区麻布台2丁目2-14,東京都港区麻布台2丁目2-14,35.6586,139.742935,飯倉熊野神社,神社/寺院/教会など,3,12,https://www.tripadvisor.jp/Attraction_Review-g1066451-d8491645-Reviews-Iigura_Kumano_Shrine-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門三丁目,-,東京都港区虎ノ門3-13-6,東京都港区虎ノ門3-13-6,35.664238,139.747421,天徳寺,神社/寺院/教会など,3,12,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10307129-Reviews-Tentoku_ji_Temple-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園四丁目,-,東京都港区芝公園4-8,東京都港区芝公園4-8,35.656197,139.749741,木造仁王像,旧跡 ? 名所・有名スポット,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g14129730-d19409110-Reviews-Monument_of_Mokuzonio-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園一丁目,-,東京都港区芝大門1-10-16,東京都港区芝大門1-10-16,35.658524,139.752533,源宝院,神社/寺院/教会など,3,12,https://www.tripadvisor.jp/Attraction_Review-g14129729-d10512591-Reviews-Gempo_in-Shibadaimon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門一丁目,-,東京都港区虎ノ門1-1-28,東京都港区虎ノ門1-1-28,35.670605,139.749786,虎ノ門遺址の碑,記念碑＆像,4,4,https://www.tripadvisor.jp/Attraction_Review-g14129647-d17347845-Reviews-Monument_of_Toranomon_Ruins-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,北青山三丁目,-,東京都港区北青山3-11-7Ao1F,東京都港区北青山3-11-7Ao1F,35.663509,139.710632,Dyson 表参道,名所・有名スポット,3,17,https://www.tripadvisor.jp/Attraction_Review-g1066451-d8573261-Reviews-Dyson_Omotesando-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,新橋一丁目,-,東京都中央区銀座８丁目６?10番先東新橋ビル,東京都中央区銀座8丁目6-10番先東新橋ビル,35.667023,139.761902,銀座の柳の碑,記念碑＆像,3,17,https://www.tripadvisor.jp/Attraction_Review-g14129578-d8149587-Reviews-Monument_of_Ginza_No_Yanagi-Shimbashi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,青海四丁目,-,東京都港区台場1-4お台場海浜公園内,東京都港区台場1-4お台場海浜公園内,35.620583,139.780548,オリンピック・シンボル,名所・有名スポット ? 記念碑＆像,4,4,https://www.tripadvisor.jp/Attraction_Review-g14134368-d20305906-Reviews-Olympic_Symbol-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,元麻布三丁目,-,東京都港区元麻布3-1-37,東京都港区元麻布3-1-37,35.658211,139.727753,専称寺,神社/寺院/教会など,3.5,9,https://www.tripadvisor.jp/Attraction_Review-g1066451-d10092039-Reviews-Sensho_ji_Temple-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金二丁目,-,東京都港区白金2-3-5,東京都港区白金2-3-5,35.642765,139.733353,松秀寺,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14131360-d12075228-Reviews-Shoshu_ji_Temple-Shirokane_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,愛宕二丁目,虎ノ門・六本木,東京都港区愛宕2-5-1,東京都港区愛宕2-5-1,35.662086,139.748917,愛宕グリーンヒルズ,名所・有名スポット ? 建築物,3,16,https://www.tripadvisor.jp/Attraction_Review-g1066451-d9709746-Reviews-Atago_Green_Hills-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪三丁目,-,東京都港区高輪3-26,東京都港区高輪3-26,35.628937,139.737732,品川駅創業記念碑,記念碑＆像,3,14,https://www.tripadvisor.jp/Attraction_Review-g14131019-d11805983-Reviews-Shinagawa_Station_Foundation_Monument-Takanawa_Minato_Tokyo_Tokyo_Prefecture_K.html
港区,赤坂六丁目,-,東京都港区赤坂6-10-41,東京都港区赤坂6-10-41,35.669132,139.734833,勝海舟邸跡,記念碑＆像,3,12,https://www.tripadvisor.jp/Attraction_Review-g14129743-d14860968-Reviews-Katsukai_Shuteiato-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園一丁目,-,東京都港区芝公園1-7-15,東京都港区芝公園1-7-15,35.657291,139.752167,花岳院,神社/寺院/教会など,3,14,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10512602-Reviews-Kagaku_in-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田3-7-8,東京都港区三田3-7-8,35.644787,139.742111,元和キリシタン遺跡,記念碑＆像,3,5,https://www.tripadvisor.jp/Attraction_Review-g14129732-d12339360-Reviews-Monument_of_Genna_Christian_Ruins-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園四丁目,-,東京都港区芝公園4-3,東京都港区芝公園4-3,35.657978,139.74588,如意輪観世音,神社/寺院/教会など,4,1,https://www.tripadvisor.jp/Attraction_Review-g14129730-d12339457-Reviews-Nyoirin_Kannon-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,新橋一丁目,-,東京都港区新橋1-6,東京都港区新橋1-6,35.66729,139.7612,新橋跡の親柱,旧跡 ? 名所・有名スポット,3,5,https://www.tripadvisor.jp/Attraction_Review-g14129578-d17347831-Reviews-Shimbashiato_no_Oyabashira-Shimbashi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-16-23,東京都港区三田4-16-23,35.64365,139.74144,済海寺,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129732-d11946069-Reviews-Saikai_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金五丁目,-,東京都港区白金5-9,東京都港区白金5-9,35.645046,139.726212,コッホ北里神社,旧跡 ? 神社/寺院/教会など,3.5,4,https://www.tripadvisor.jp/Attraction_Review-g14131360-d12314673-Reviews-Koch_Kitazato_Shrine-Shirokane_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,愛宕二丁目,-,東京都港区虎ノ門3-20-1,東京都港区虎ノ門3-20-1,35.662395,139.747925,俊朝寺,神社/寺院/教会など,3,10,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10513302-Reviews-Shuncho_ji_Temple-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪二丁目,-,東京都港区高輪2-15-10,東京都港区高輪2-15-10,35.637547,139.7388,稲荷神社,神社/寺院/教会など,3,12,https://www.tripadvisor.jp/Attraction_Review-g14131019-d12590072-Reviews-Inari_Shrine-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,東新橋一丁目,-,東京都港区東新橋1-5-2,東京都港区東新橋1-5-2,35.665348,139.761032,汐留シティセンター,名所・有名スポット,3.5,4,https://www.tripadvisor.jp/Attraction_Review-g1066451-d17574549-Reviews-Shiodome_City_Center-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,東新橋一丁目,-,東京都港区東新橋1-6,東京都港区東新橋1-6,35.664299,139.760239,仙台藩上屋敷跡,旧跡,3,5,https://www.tripadvisor.jp/Attraction_Review-g1066451-d14862029-Reviews-Sendaihan_Kamiyashiki_Ato-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-1-38,東京都港区三田4-1-38,35.647514,139.741104,大松寺,神社/寺院/教会など,3,8,https://www.tripadvisor.jp/Attraction_Review-g14129732-d12151845-Reviews-Daisho_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,元麻布一丁目,-,東京都港区元麻布1-2-1,東京都港区元麻布1-2-1,35.654572,139.733047,一本松,名所・有名スポット,3.5,7,https://www.tripadvisor.jp/Attraction_Review-g1066451-d10311065-Reviews-Ippommatsu-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門三丁目,-,東京都港区虎ノ門3-8-14,東京都港区虎ノ門3-8-14,35.66544,139.747559,宝瑞院,神社/寺院/教会など,3,4,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10516608-Reviews-Hozui_in-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木三丁目,虎ノ門・六本木,東京都港区六本木3-2-24,東京都港区六本木3-2-24,35.663589,139.737473,なだれ坂,名所・有名スポット,3.5,4,https://www.tripadvisor.jp/Attraction_Review-g14129735-d15699917-Reviews-Nadare_zaka-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,元麻布一丁目,-,東京都港区元麻布1-7-4,東京都港区元麻布1-7-4,35.652969,139.734009,光善寺,神社/寺院/教会など,4,4,https://www.tripadvisor.jp/Attraction_Review-g1066451-d14109633-Reviews-Kozen_ji_Temple-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木一丁目,虎ノ門・六本木,東京都港区六本木1-7-24,東京都港区六本木1-7-24,35.663776,139.739517,山形ホテル跡,名所・有名スポット,3,8,https://www.tripadvisor.jp/Attraction_Review-g14129735-d10312919-Reviews-The_Site_of_Yamagata_Hotel-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝浦四丁目,-,東京都港区芝浦1,東京都港区芝浦1,35.640434,139.745148,新芝運河沿緑地,眺めのよい散策エリア,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066451-d11946540-Reviews-Shinshibaungazoi_Ryokuchi-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木六丁目,虎ノ門・六本木,東京都港区六本木5,東京都港区六本木5,35.662685,139.732513,芋洗坂,名所・有名スポット ? 眺めのよい散策エリア,3.5,8,https://www.tripadvisor.jp/Attraction_Review-g14129735-d16656515-Reviews-Imoarai_zaka_Slope-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪一丁目,-,東京都港区高輪1-24-6,東京都港区高輪1-24-6,35.638241,139.733154,広岳院,神社/寺院/教会など,3.5,7,https://www.tripadvisor.jp/Attraction_Review-g14131019-d12074405-Reviews-Kogaku_in-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝五丁目,-,東京都港区芝5-20-20,東京都港区芝5-20-20,35.647842,139.746765,水野監物邸跡,旧跡,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066451-d11710593-Reviews-Remains_of_Mizuno_Kenmotsu_Residence-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園一丁目,-,東京都港区芝公園1-8-9,東京都港区芝公園1-8-9,35.657452,139.751984,常照院,神社/寺院/教会など,3,11,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10512609-Reviews-Josho_in-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-2,東京都港区芝公園3-2,35.660885,139.749863,開拓使仮学校跡,記念碑＆像,3,10,https://www.tripadvisor.jp/Attraction_Review-g14129730-d11496434-Reviews-Kaitaku_Shikari_School_Monument-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-1-13,東京都港区芝公園3-1-13,35.6604,139.748657,安蓮社,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10307111-Reviews-Anren_sha-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門三丁目,-,東京都港区虎ノ門3-23-10,東京都港区虎ノ門3-23-10,35.661713,139.746704,光円寺,神社/寺院/教会など,3,4,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10513204-Reviews-Koen_ji_Temple-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園四丁目,-,東京都港区芝公園4-8,東京都港区芝公園4-8,35.655167,139.748505,大野伴睦句碑,記念碑＆像,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10306575-Reviews-Bamboku_Ono_Monument-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,赤坂四丁目,-,東京都港区赤坂4-9-19,東京都港区赤坂4-9-19,35.675106,139.732651,美喜井稲荷,旧跡 ? 神社/寺院/教会など,3,4,https://www.tripadvisor.jp/Attraction_Review-g14129743-d11931157-Reviews-Miki_Inari_Shrine-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金二丁目,-,東京都港区白金2-1-43,東京都港区白金2-1-43,35.643177,139.730423,専心寺,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14131360-d12339333-Reviews-Senshin_ji_Temple-Shirokane_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-6国道一号線,東京都港区芝公園3-6国道一号線,35.659828,139.743362,永井坂,歴史散策地区,3,6,https://www.tripadvisor.jp/Attraction_Review-g14129730-d15357651-Reviews-Nagaizaka-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,南麻布二丁目,-,東京都港区南麻布2-9-22,東京都港区南麻布2-9-22,35.648045,139.734268,曹渓寺,神社/寺院/教会など,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066451-d12074845-Reviews-Sokei_ji_Temple-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪二丁目,-,東京都港区高輪2-14-25,東京都港区高輪2-14-25,35.635441,139.737381,正覺寺,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14131019-d12587918-Reviews-Shokaku_ji_Temple-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪一丁目,-,東京都港区高輪1-23-28,東京都港区高輪1-23-28,35.638653,139.732132,源昌寺,神社/寺院/教会など,3,7,https://www.tripadvisor.jp/Attraction_Review-g14131019-d11813757-Reviews-Genshoji_Temple-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,愛宕二丁目,虎ノ門・六本木,東京都港区愛宕2-7-8,東京都港区愛宕2-7-8,35.662277,139.74823,清岸院,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066451-d10513290-Reviews-Seigan_in-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木一丁目,虎ノ門・六本木,東京都港区六本木1-8-7,東京都港区六本木1-8-7,35.663155,139.7397,日本国憲法草案の地,記念碑＆像,3.5,4,https://www.tripadvisor.jp/Attraction_Review-g14129735-d15690126-Reviews-Nihonkoku_Kenpo_Soan_Monument-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,赤坂五丁目,-,東京都港区赤坂5丁目5番、7丁目6番の間,東京都港区赤坂5丁目5番、7丁目6番の間,35.670887,139.734634,三分坂,名所・有名スポット,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g14129743-d20342228-Reviews-Sanpun_zaka-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園二丁目,-,東京都港区芝公園2-3-5,東京都港区芝公園2-3-5,35.65675,139.752472,浄運院,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14129730-d15054847-Reviews-Jounin_Temple-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金四丁目,-,東京都港区白金4-3-9,東京都港区白金4-3-9,35.643658,139.729935,西光寺,神社/寺院/教会など,3,11,https://www.tripadvisor.jp/Attraction_Review-g14131360-d11426867-Reviews-Saiko_ji_Temple-Shirokane_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園四丁目,-,東京都港区芝公園4-2-8東京タワー,東京都港区芝公園4-2-8東京タワー,35.658592,139.745453,タワー大神宮,神社/寺院/教会など,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g14129730-d18844542-Reviews-Tower_Daijingu_Shrine-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-12-15,東京都港区三田4-12-15,35.643799,139.739639,実相寺,神社/寺院/教会など,3,5,https://www.tripadvisor.jp/Attraction_Review-g14129732-d12339342-Reviews-Jisso_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪二丁目,-,東京都港区高輪2-2-26,東京都港区高輪2-2-26,35.639317,139.736237,保安寺,旧跡 ? 神社/寺院/教会など,3,7,https://www.tripadvisor.jp/Attraction_Review-g14131019-d12072739-Reviews-Hoan_ji_Temple-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園二丁目,-,東京都港区芝公園2-1,東京都港区芝公園2-1,35.65686,139.750427,万延元年 遣米使節記念碑,記念碑＆像,3,21,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10308050-Reviews-Man_en_Ganen_Kembeishisetsu_Monument-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_K.html
港区,港南四丁目,-,東京都港区港南4-5,東京都港区港南4-5,35.624352,139.74913,天王洲水門,橋 ? 眺めのよい散策エリア,4,1,https://www.tripadvisor.jp/Attraction_Review-g1066451-d18746899-Reviews-Meguro_River_Canal_Lock-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,海岸一丁目,-,東京都港区海岸1-5-20,東京都港区海岸1-5-20,35.653442,139.758377,江戸時代の石垣,旧跡,3,4,https://www.tripadvisor.jp/Attraction_Review-g1066451-d12151883-Reviews-Edo_Jidai_no_Ishigaki-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-8-23,東京都港区三田4-8-23,35.642269,139.737946,薬王寺,墓地 ? 神社/寺院/教会など,3,5,https://www.tripadvisor.jp/Attraction_Review-g14129732-d14208402-Reviews-Yakuo_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,南青山一丁目,-,東京都港区南青山1-26-1,東京都港区南青山1-26-1,35.667007,139.727081,教運寺,神社/寺院/教会など,3,3,https://www.tripadvisor.jp/Attraction_Review-g1066451-d13969545-Reviews-Kyoun_ji_Temple-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,赤坂一丁目,虎ノ門・六本木,東京都港区赤坂1-11-3,東京都港区赤坂1-11-3,35.667789,139.742584,正福寺,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129743-d11426854-Reviews-Shofuku_ji_Temple-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金台三丁目,-,東京都港区白金台3-17-5,東京都港区白金台3-17-5,35.635719,139.721893,妙円寺,神社/寺院/教会など,3,7,https://www.tripadvisor.jp/Attraction_Review-g14131029-d10269241-Reviews-Myoen_ji_Temple-Shirokanedai_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,台場一丁目,-,東京都港区台場1-4-1,東京都港区台場1-4-1,35.629154,139.773544,お台場海浜公園船着場,波止場・遊歩道,3,2,https://www.tripadvisor.jp/Attraction_Review-g14134368-d16699845-Reviews-Odaiba_Kaihin_Park_Wharf-Daiba_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-8-20,東京都港区三田4-8-20,35.642296,139.738373,正山寺,神社/寺院/教会など,3.5,5,https://www.tripadvisor.jp/Attraction_Review-g14129732-d14391490-Reviews-Shosan_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪二丁目,-,東京都港区高輪２丁目１２?１６,東京都港区高輪2丁目12-16,35.634422,139.736588,桂坂,名所・有名スポット,3,7,https://www.tripadvisor.jp/Attraction_Review-g1066451-d12587938-Reviews-Katsurazaka-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園二丁目,-,東京都港区芝公園2-3-2,東京都港区芝公園2-3-2,35.65657,139.752045,安養院,神社/寺院/教会など,3,13,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10308054-Reviews-Anyo_in-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-2-25みなと図書館,東京都港区芝公園3-2-25みなと図書館,35.659897,139.750137,お台場の石垣石,記念碑＆像,3,6,https://www.tripadvisor.jp/Attraction_Review-g14129730-d14132668-Reviews-Odaiba_no_Ishigakiishi-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,海岸一丁目,-,東京都港区海岸1-5-20,東京都港区海岸1-5-20,35.653442,139.758377,抗火石のモヤイ像,記念碑＆像,3,5,https://www.tripadvisor.jp/Attraction_Review-g1066451-d11946251-Reviews-Kokaseki_no_Moyai_Statue-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門三丁目,-,東京都港区虎ノ門3-10-8,東京都港区虎ノ門3-10-8,35.665039,139.747787,興昭院,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10513372-Reviews-Kosho_in-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-1-8,東京都港区芝公園3-1-8,35.661209,139.749008,雲晴院,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10168903-Reviews-Unsei_in-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門二丁目,-,東京都港区虎ノ門2-9-16,東京都港区虎ノ門2-9-16,35.66811,139.746155,仙石伯耆守邸跡,旧跡,3,11,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10309183-Reviews-Former_Site_of_Sengoku_Hokinokami_House-Toranomon_Minato_Tokyo_Tokyo_Prefectur.html
港区,三田四丁目,-,東京都港区三田4-8-19,東京都港区三田4-8-19,35.642502,139.738586,キリスト友会フレンズセンター,修道院,3,2,https://www.tripadvisor.jp/Attraction_Review-g14129732-d12946119-Reviews-Tokyo_Friends_Meeting_Friends_Center-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,白金台五丁目,-,東京都港区白金台5-13-34,東京都港区白金台5-13-34,35.638275,139.722076,法蓮寺,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14131029-d10152398-Reviews-Horen_ji_Temple-Shirokanedai_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門三丁目,-,東京都港区虎ノ門3-10-13,東京都港区虎ノ門3-10-13,35.665504,139.748123,栄寿寺,神社/寺院/教会など,3,7,https://www.tripadvisor.jp/Attraction_Review-g14129647-d10523782-Reviews-Eijuji_Temple-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,虎ノ門二丁目,-,東京都港区虎ノ門2丁目10,東京都港区虎ノ門2丁目10,35.666718,139.745209,江戸見坂,旧跡 ? 名所・有名スポット ? 眺めのよい散策エリア,3,7,https://www.tripadvisor.jp/Attraction_Review-g14129647-d18854327-Reviews-Edomi_Slope-Toranomon_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,三田四丁目,-,東京都港区三田4-11-30,東京都港区三田4-11-30,35.64291,139.739166,常教寺,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14129732-d14208407-Reviews-Jokyo_ji_Temple-Mita_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪二丁目,-,東京都港区高輪2-16-22,東京都港区高輪2-16-22,35.638855,139.739334,願生寺,旧跡 ? 神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g14131019-d12077573-Reviews-Gansho_ji_Temple-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-5-24,東京都港区芝公園3-5-24,35.660206,139.745667,光宝寺,神社/寺院/教会など,3,2,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10513226-Reviews-Koho_ji_Temple-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,高輪四丁目,-,東京都港区高輪4-10-30,東京都港区高輪4-10-30,35.627697,139.736298,高輪テニスセンター,アリーナ・スタジアム,-,1,https://www.tripadvisor.jp/Attraction_Review-g14131019-d13021718-Reviews-Takanawa_Tennis_Center-Takanawa_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木二丁目,虎ノ門・六本木,東京都港区六本木2丁目1-20,東京都港区六本木2丁目1-20,35.666805,139.737778,永昌寺,名所・有名スポット ? 神社/寺院/教会など,3,3,https://www.tripadvisor.jp/Attraction_Review-g14129735-d18972208-Reviews-Eisho_ji_Temple-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,元麻布一丁目,-,東京都港区元麻布1-7-2,東京都港区元麻布1-7-2,35.653183,139.733551,善通寺,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066451-d14986109-Reviews-Zentsu_ji_Temple-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝三丁目,-,東京都港区芝3-1,東京都港区芝3-1,35.654228,139.745407,伏見三宝稲荷神社,神社/寺院/教会など,3,5,https://www.tripadvisor.jp/Attraction_Review-g1066451-d15573465-Reviews-Fushimi_Sanpo_Inari_Shrine-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園三丁目,虎ノ門・六本木,東京都港区芝公園3-1-6,東京都港区芝公園3-1-6,35.661472,139.748932,松蓮社,神社/寺院/教会など,3,5,https://www.tripadvisor.jp/Attraction_Review-g14129730-d11426831-Reviews-Shoren_sha-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園二丁目,-,東京都港区芝公園2-11-1,東京都港区芝公園2-11-1,35.654305,139.751694,日新窟,神社/寺院/教会など,2.5,10,https://www.tripadvisor.jp/Attraction_Review-g14129730-d10512665-Reviews-Nisshinkutsu-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,芝公園一丁目,-,東京都港区芝公園1-3-16,東京都港区芝公園1-3-16,35.659374,139.751312,天光院,神社/寺院/教会など,3,12,https://www.tripadvisor.jp/Attraction_Review-g14129730-d9739326-Reviews-Tenko_in-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,元麻布一丁目,-,東京都港区元麻布1-6-21,東京都港区元麻布1-6-21,35.653561,139.732849,柳の井戸,名所・有名スポット,3,7,https://www.tripadvisor.jp/Attraction_Review-g1066451-d12075247-Reviews-Well_of_Yanagi-Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,赤坂一丁目,虎ノ門・六本木,東京都港区赤坂1-11-4,東京都港区赤坂1-11-4,35.667618,139.742554,常國寺,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g14129743-d11426859-Reviews-Jokoku_ji_Temple-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
港区,六本木三丁目,虎ノ門・六本木,東京都港区六本木3-5,東京都港区六本木3-5,35.663437,139.736359,丹波谷坂,名所・有名スポット,3.5,3,https://www.tripadvisor.jp/Attraction_Review-g14129735-d16755146-Reviews-Tambadani_Slope-Roppongi_Minato_Tokyo_Tokyo_Prefecture_Kanto.html
