指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2023/3/21,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件、2022年度：344件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
渋谷区,恵比寿西一丁目,-,東京都渋谷区恵比寿西1-8-2 ウエストパレス205,35.6478,139.708107,INDUSTRIAL LOUNGE[Others ],ラウンジ,Others,03-3461-1989,19:00-04:00,-,150人,5000円,-
渋谷区,猿楽町,-,東京都渋谷区猿楽町2-11 B1-B2F,35.653372,139.70459,SPACE ODD[Live POPs All Genre ],イベント会場,All Genre ･ POPs ･ Live,03-6452-5671,公演ごとに変動,不定,B1階: 50人 / B2階: 300人,チケット代金+1ドリンク～,http://www.spaceodd.jp/
渋谷区,恵比寿西一丁目,-,東京都渋谷区恵比寿西1-13-3 ROOB6ビル4F,35.647661,139.708004,What the Dickens[POPs Rock Jazz Oldies Folk Blues ChillOut IndieRock ],ライブバー,Rock ･ POPs ･ Blues ･ Folk ･ Oldies ･ Jazz ･ IndieRock ･ ChillOut ･ Metal,03-3780-2099,17:00～,月,180名,"3,500円",http://www.whatthedickens.jp/
渋谷区,恵比寿西一丁目,-,東京都渋谷区恵比寿西1-34-17 ザ･ハウスビルB1F,35.647117,139.702354,B1FLAT[Others All Genre ],イベントスペース,Others ･ All Genre,03-5459-8631,11:30-24:00 ※要確認,不定,200名,-,https://twitter.com/b1flat_tokyo
渋谷区,恵比寿南三丁目,-,東京都渋谷区恵比寿南3-1-2 サウスビル4F,35.645822,139.706845,Cafe&Dining nurikabe[Others ],ダイニングバー,Others,03-6451-2022,12:00-15:00 / 17:00-24:00イベント時22:00～,無休,40人,3000円,-
渋谷区,東二丁目,-,東京都渋谷区東2-24-4 荒井ビル2F,35.651707,139.708816,Suree[HipHop House Techno Jazz Disco Soul ],バー,House ･ Techno ･ Jazz ･ Disco ･ Soul ･ HipHop ･ etc.,03-3400-1383,平日･日･祝 20:00-02:00 / 金･土 20:00-05:00ランチ 11:30-15:00,-,40人,3000円チャージ500円 / ドリンク700円から,http://suree-ebisu.tokyo/
渋谷区,恵比寿南二丁目,-,東京都渋谷区恵比寿南2-3-14 CONZE EBISU B1F,35.645509,139.707435,NOS EBISU[Techno Allmix Live R&B ],ダイニングバー,Allmix ･ Live ･ Techno ･ R&B,03-5773-1727,月-木18:00-02:00 / 金･土18:00-05:00 / 日･祝17:00-23:00,無休,スタンディング 180人,3500円,http://nosebisu.com/
渋谷区,恵比寿西一丁目,-,東京都渋谷区恵比寿西1-34-17 ZAHOUSEビル B3F,35.646937,139.702486,SALOON[House Techno Allmix Live Others DUBSTEP All Genre Drum&Bass ],ナイトクラブ,Allmix ･ House ･ Techno ･ Drum&Bass ･ All Genre ･ DUBSTEP ･ Others ･ Live,03-5459-8633,※イベントにより異なる,不定休,総面積: およそ200平米,"5,000円",http://saloon-tokyo.com/
渋谷区,恵比寿西二丁目,-,東京都渋谷区恵比寿西2-9-9 代官山テクノビル2Ｆ,35.649156,139.707255,enjoy!house[HipHop House Techno Allmix Others Jazz Disco Soul TechHouse ],バー,House ･ HipHop ･ Techno ･ Allmix ･ Others ･ Jazz ･ Disco ･ Soul ･ TechHouse,03-5489-1591,火-木18:00-02:00 / 金18:00-05:00 / 土15:00-05:00 / 日15:00-02:00,月,-,-,http://enjoyhouse.jugem.jp/
渋谷区,東三丁目,-,東京都渋谷区東3-16-6,35.649088,139.710643,LIQUIDROOM[Live All Genre ],ライブハウス,Live ･ All Genre,03-5464-0800,ライブにより異なる,-,900人,5000円,http://www.liquidroom.net/
渋谷区,恵比寿西一丁目,-,東京都渋谷区恵比寿西1-34-17 ZaHOUSEビル,35.647112,139.702432,UNIT[House Techno Allmix Live Others Electronic ],CLUB ･ ライブハウス,Live ･ House ･ Techno ･ Allmix ･ Electronic ･ Others,03-5459-8630,※ライブ ･ イベントにより異なる,不定,600人,"3,500円",https://www.unit-tokyo.com/
渋谷区,東三丁目,-,東京都渋谷区東3-16-6 LIQUIDROOM 2F,35.649196,139.710719,KATA[Allmix Others ],ギャラリー ･ イベントスペース,Allmix ･ Others,-,※イベント･スケジュールにより異なる,-,100～150人,2000円前後,http://www.kata-gallery.net/
渋谷区,代官山町,-,東京都渋谷区代官山町20-20 モンシェリー代官山B2F,35.648125,139.70223,晴れたら空に豆まいて[Others POPs All Genre Acoustic ],イベントスペース,POPs ･ Acoustic ･ All Genre ･ Others,03-5456-8880,18:00～ ※公演ごとに開催時間は変動(貸切: 日中10:00-15:00 / 夜15:00-22:00),無休,200名 (座: 130席),5000円前後,http://mameromantic.com/
渋谷区,恵比寿南二丁目,-,東京都渋谷区恵比寿南2-3-3 B1F,35.645333,139.708019,LIFE IS BEAUTIFUL[Others ],バー,Others,03-6303-2353,21:00～,無休,-,-,-
渋谷区,広尾一丁目,-,東京都渋谷区広尾1-11-2 アイオス広尾ビル1F,35.64824,139.71534,IGAO[Live Others R&B ],バー,R&B ･ Live ･ Others,03-5793-3778,19:00-02:00ランチ: 平日 11:30-15:00,日,30人,"2,000円～",https://www.igao.fun/
渋谷区,恵比寿四丁目,-,東京都渋谷区恵比寿4-22-7 イーストスクエアビルB1F,35.645052,139.714685,club aim[Live Others POPs Rock ],ライブハウス,Live ･ Rock ･ POPs ･ Others,03-5422-6657,※スタートは日程により変動貸切 12:00-23:00,-,150人,-,http://www.clubaim.com/
渋谷区,東三丁目,-,東京都渋谷区東3-14-19 オークヒルズ B1F,35.651351,139.709482,自由空間 CreAto[Others ],ライブホール,Others,03-6427-5273,ALL TIME,不定休,300人,-,http://www.creato.bz/
渋谷区,東三丁目,-,東京都渋谷区東3-16-6 リキッドルーム2F,35.649097,139.710841,TimeOut Caf・& Diner[Live Others Lounge ],ラウンジ ･ カフェ,Live ･ Lounge ･ Others,03-5774-0440,11:30-23:30 / 土13:00-23:30 / 日･祝13:00-22:00,無休,100人,"1,500円",https://www.timeoutcafe.jp/
港区,六本木五丁目,六本木,東京都港区六本木5-1-7 六本木ストリートビル 1F-2F,35.66255,139.733237,MEZZO TOKYO[House Allmix EDM ],ラウンジ ･ バー,House ･ EDM ･ Allmix ･ etc.,03-6438-9711,平日 19:00-01:00 / 金･土･祝前 19:00-03:00,日 ･ 祝,100人 (1階60 ･ 2階40),"2,000円～",http://mezzo.tokyo/
港区,六本木七丁目,六本木,東京都港区六本木7-13-7 1F-B1F,35.664024,139.730478,V2 TOKYO[HipHop House Allmix Live R&B EDM Electro ],CLUB,Allmix ･ House ･ HipHop ･ Live ･ Electro ･ EDM ･ R&B,03-5474-0091,21:00-05:00,無休,450名,"4,500円",https://www.v2tokyo.com/
港区,六本木五丁目,六本木,東京都港区六本木5-1-6 六本木B&Vビル2F・3F,35.662627,139.733112,ESPRIT TOKYO[HipHop Allmix R&B EDM ],DJラウンジ ･ CLUB,EDM ･ Allmix ･ R&B ･ HipHop,03-3470-1371,22:00-05:00※イベント等によりが変更となる可能性があります。必ず事前にご確認下さい。,無休,500人,"MEN: 2,500円～ / WOMEN: 1,000円～",http://esprit-tokyo.net/
港区,六本木七丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI B1F,35.664877,139.729778,SEL OCTAGON TOKYO[House EDM Electro K-EDM ],クラブ,EDM ･ K-EDM ･ Electro ･ House ･ etc.,03-3405-0088,木･金･土 22:30-05:00,不定 (祝前日でない日曜日は休みとなる場合が多い),700名 (VIP:120席),"男性5,000円 / 女性3,000円 ※目安",https://sel-octagon-tokyo.jp/
港区,麻布台三丁目,-,東京都港区麻布台3-4-11 中央飯倉ビルB1F,35.66054,139.739033,CUBE[HipHop House Allmix Live POPs R&B Dance Disco Electro ],CLUB ･ DISCO,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ HIPHOP ･ Live ･ Electro ･ POPs,03-3589-0933,※イベントにより異なる,無休,イベント時 150～180名程,2500円,http://www.mp-cube.net/
港区,六本木三丁目,六本木,東京都港区六本木3-11-6 21泰明ビル5F,35.663066,139.733158,IBEX TOKYO[HipHop Reggae R&B Old school ],Club ･ ラウンジバー,HipHop ･ R&B ･ Reggae ･ 90s ･ Old school,03-3746-1075,22:00-05:00 / 週末 22:00-08:00 ※変動する場合あり,時間外はレンタルスペースとして利用可,100人前後,"4,000円",http://ibex-tokyo.net/
港区,六本木四丁目,六本木,東京都港区六本木4-5-2 UビルB1F,35.665002,139.732776,atomage[House R&B Rock Disco Funk Ska Electro TechHouse ],バー,Rock ･ R&B ･ TechHouse ･ House ･ Electro ･ Ska ･ Funk ･ Disco,03-3479-0055,19:00-02:00 / 週末 19:00-03:00,日,30席前後,チャージ 1000円ドリンク 700円～,http://atomage.jp/
港区,六本木三丁目,六本木,東京都港区六本木3-11-6 21泰明ビル4F,35.663029,139.733128,Motown House[Allmix 80s BlackMusic ],バー,BlackMusic ･ 80s ･ Allmix ･ etc.,03-5474-4605,18:00-05:00,無し,(面積: 約120平米),"3,500円～",https://www.motownhouse.com/
港区,六本木三丁目,六本木,東京都港区六本木3-14-8 下条ビルB1F,35.662437,139.734964,SONIDO’S BAR[HipHop Reggae R&B EDM Latin TOP40 ],バー,HipHop ･ TOP40 ･ Latin ･ EDM ･ R&B ･ Reggae,03-6447-1995,19:00-07:00,火,60名,"2,000円 (男性: エントランス料1,000円)",https://twitter.com/sonido_roppongi
港区,六本木七丁目,六本木,東京都港区六本木7-13-7 2F,35.663913,139.730631,VILLA TOKYO[Allmix EDM ],CLUB,Allmix ･ EDM ･ House ･ etc.,03-5413-8077,21:00-05:00 変動の可能性あり,-,400名程地下: 立200人+固定100席 / 約400平米ラウンジ(1階): 80平米,エントランスフィーの目安男性 3500円 / 女性 無料 (クーポン割有)変更の場合有、事前に確認下さい,http://www.villatokyo.com/
港区,六本木五丁目,六本木,東京都港区六本木5-3-1 レーヌ第2ビル3F,35.662126,139.733286,Bar Quest[Allmix Disco ],DJバー,Disco ･ Allmix,03-5414-2225,19:00-07:00 / 金･土19:00-10:00頃まで,無休,-,3000円,http://www.barquest.tokyo/
港区,六本木六丁目,六本木,東京都港区六本木6-8-22 イケガミビル1F,35.659806,139.732322,THE PUBLIC SIX[House Allmix ],バー,House ･ Allmix,03-5413-3182,17:00-05:00 / 日･祝 ～03:00,無し,立150名 (108席),"3,800円～",https://www.bagus-99.com/public6/
港区,六本木三丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.662581,139.734949,Seven Tokyo[Allmix ],クラブ,Allmix,03-6804-5196,(22:00～ ※変動する為要確認),(日 ･ 月 ※要事前確認、祝前の場合変更の可能性あり),150名前後,"3,000円",-
港区,六本木三丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル 1F-3F,35.663433,139.733995,ZEUS GARDEN[Allmix ],クラブ,Allmix,03-6384-5640,営業日: 火-土･祝前日1階: 18:00～2階: 19:00～3階: 木曜日 19:00-24:00 / 金曜･土曜 22:00-05:00,日 ･ 月 ･ 祝,300名面積: 350坪 (3フロア合計),"4,000円バー利用 1,000円～",https://zeus-garden.com/
港区,六本木三丁目,六本木,東京都六本木3-12-6 六本木プラザビル5F,35.662958,139.733434,MAHARAJA[House Allmix POPs R&B Dance Disco ],クラブ ･ ディスコ,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ POPs,03-6804-1798,月･火 19:00-24:00水･木 19:00-02:00金･土･祝前 19:00-05:00日･祝 イベントにより変動目安となります。事前にご確認下さい。,無休,300人,"4,500円",https://maharaja-r.jp/
港区,六本木七丁目,六本木,東京都港区六本木7-14-10 山室ビル2F,35.663265,139.731812,GERONIMO SHOT BAR[HipHop Allmix Dance Disco 80s TOP40 ],Bar ･ Nightclub ･ Party,80s ･ TOP40 ･ Dance ･ Disco ･ HipHop ･ Allmix,03-3478-7449,18:00-05:00,無休,100人,2000円,http://www.geronimoshotbar.com/
港区,六本木三丁目,六本木,東京都港区六本木3-15-22 陽光セントラル六本木ビル6F,35.662209,139.735158,JP Bar[Latin ],バー,Latin ･ etc.,03-6886-6286,19:00～(23:00までハッピーアワー)変わる可能性あり確認要,日,要確認 (目算:40名～),"2,000円～",-
港区,六本木五丁目,六本木,東京都港区六本木5-16-5 インペリアル六本木ビルB2F,35.661842,139.735069,THE FIRST HOUSE[Allmix R&B ],クラブバー,R&B ･ Allmix,03-6277-7229,19:00-05:00 (ハッピーアワー 22:00まで)※更新の可能性あり、要確認,日,席数 40程,"3,000円",http://thefirsthouse.jp/
港区,六本木三丁目,六本木,東京都港区六本木3-15-23 六本木花椿ビル3F,35.662382,139.735197,ODEON TOKYO[House Trance Allmix EDM ],Club ･ バー,House ･ EDM ･ Allmix ･ Trance,03-3478-4555,21:00-09:00 / 週末 ～12:00※変更の可能性あり、要確認,日,39坪,"3,800円",http://odeon-bar.com/
港区,六本木三丁目,六本木,東京都港区六本木3-10-5 マリーナビル1F,35.663181,139.733365,NEW PLANET TOKYO[HipHop Allmix POPs R&B Dance ],CLUB ･ ラウンジ,Allmix ･ HipHop ･ Dance ･ R&B ･ POPs,03-3470-4340,18:00-08:0023:30までハッピーアワー,無休,100名 ※目算,"3,500円",http://www.newplanet.jp/
港区,六本木五丁目,六本木,東京都港区六本木5-9-22 第二千陽ビルB1F,35.661926,139.732991,Electrik神社[HipHop Live Others Jazz Funk ],バー,Jazz ･ Funk ･ Live ･ HipHop ･ Others,03-3478-3363,19:00-05:00,日,50人,3500円前後,-
港区,六本木三丁目,六本木,東京都港区六本木3-13-6 WINDビルB1,35.662759,139.734156,THE NEW MATRIX BAR[HipHop Allmix Reggae R&B ],DJバー,HipHop ･ R&B ･ Reggae ･ Allmix,03-3405-1066,20:00-05:00 ※更新となる場合あり、要確認,日,-,"2,000円～3,500円",http://matrixbar.jp/
港区,六本木三丁目,六本木,東京都港区六本木3-10-5 マリナービル1F/2F,35.663152,139.733434,JUMANJI 55[House Allmix R&B ],バー ･ ラウンジ,House ･ Allmix ･ R&B,03-5410-5455,19:00～※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,無休,約200名,"3,500円",http://jumanji55.com/
港区,六本木三丁目,六本木,東京都港区六本木3-13-8 ゾーナンビル2F,35.662598,139.733995,mint cafe&pub roppongi[Others ],カフェバー,Others,03-6823-1219,12:00-04:00 (ランチ: 17:00まで),火,立90名未満 / 44席,"3,000円～",https://www.mint-roppongi.jp/
港区,六本木五丁目,六本木,東京都港区六本木5-18-21 FIVEPLAZA B2F,35.660944,139.736935,Club EDGE[Live Others POPs Rock Funk All Genre ],ライブハウス,Live ･ POPs ･ Rock ･ Funk ･ All Genre ･ Others,03-3505-4561,※スケジュールにより異なる,-,150人,3000円前後,http://www.club-edge.net/
港区,六本木三丁目,六本木,東京都港区六本木3-11-6 泰明ビル3F,35.662988,139.733108,Sheyda BAR[House R&B Latin Billboard TOP40 ],ラウンジバー,House ･ TOP40 ･ Billboard ･ Latin ･ R&B,03-6447-0148,21:00-06:00 / 土 21:00-09:00,日,40席前後,"1,000円",http://www.facebook.com/sheydabar
港区,六本木三丁目,六本木,東京都港区六本木 3-15-24 アリエスビル2F,35.66267,139.735213,Two Dogs Taproom[Others ],レストラン ･ バー,Others,03-5413-0333,17:00-05:00,無休,-,2000円～3000円,http://www.twodogs-tokyo.com/
港区,六本木三丁目,六本木,東京都港区六本木3-13-10 六本木幸田ビル5F,35.662738,139.733679,Padi’s Tokyo[Reggae Others ],バー,Reggae ･ Afrobeat ･ Afro Pop,03-6698-9001,18:00-23:00 / 週末 22:00-05:00,無し ･ 不定,-,"2,800円(ファーストドリンク 1,000円 / 料理一品 1,000円程)",http://flf662.wixsite.com/padistokyo
港区,六本木三丁目,六本木,東京都六本木5-5-1 B1F (右奥),35.662934,139.733792,Lex Tokyo[Allmix Others ],クラブ,Allmix ･ Others,営業不明,22:00～ミッドナイト,無休,150名前後,"3,500円",http://lex-tokyo.com/
港区,六本木七丁目,六本木,東京都港区六本木7-6-3 喜楽ビル201,35.664652,139.728603,Funky D[HipHop House R&B Soul Funk 70s 80s ],バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,平日 20:00-24:00 / 週末 20:00-02:00,日-水 ･ 祝日 (祝前は営業の可能性あり),15名,4000円 (チャージ 1000円)ドリンク 800円～,https://www.facebook.com/FUNKY-D-755612264568202/
港区,六本木三丁目,六本木,東京都港区六本木3-15-24 ウィン六本木1F,35.662614,139.735465,EL CAFE LATINO[Dance Salsa Latin ],バー,Latin ･ Salsa ･ Dance,03-3402-8989,火-木･日 18:00-24:00金･土･祝前日 18:00-05:00,無し,30席,金･土 エントランス1500円,http://www.elcafelatino.com/
港区,六本木三丁目,六本木,東京都港区六本木3-8-15 六本木日拓ビル3F,35.663252,139.734228,ZEN TOKYO[HipHop ],CLUB,HipHop ･ etc.,Closed,木～土･祝前日 22:00-05:00,上記のクラブ営業以外の日は、イベントスペースとして貸切可能,600名 / 面積: 400平米程,"5,000円VIP: 2時間8万円～",-
港区,六本木三丁目,六本木,東京都港区六本木3-12-5 ステラ六本木B1F,35.662803,139.733498,88 STREET BAR[HipHop Allmix Dance Classics Soul ],DJバー,Allmix ･ HipHop ･ Soul ･ Classics ･ Dance,Closed,22:00-06:00 / 週末 20:00-07:00※改定の可能性あり、要確認,無し,-,"2,800円 / 20:00-23:00はオールドリンク500円エントランスフリー",-
港区,六本木七丁目,六本木,東京都港区六本木7-14-23 セントラル六本木1F,35.663661,139.730777,R2 SUPPERCLUB[Live Electronic Jazz Soul Funk Lounge ],ラウンジバー,Soul ･ Jazz ･ Electronic ･ Live ･ Funk ･ Lounge,03-6447-0002,17:00-05:00 / 日 17:00-03:00(ハッピーアワー 17:00-20:00),無休,250名 (127席) / 120坪,"4,000円",http://www.r2sc.jp/
港区,六本木三丁目,六本木,東京都港区六本木3-15-23 花椿ビル1F,35.662328,139.735317,jokers Bar[Allmix R&B Disco ],ダイニングバー,Allmix ･ Disco ･ R&B,03-6434-0574,月-木19:00-05:00 / 金･土19:00-06:00※変更となっている可能性あり、要確認,日,40席前後,"3,000円",-
港区,六本木六丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズウェストウォーク1F,35.661036,139.728813,TUSK[Allmix ],バー,Allmix,03-3478-9991,月-土 11:30-05:00日･祝 11:30-24:00,無休,80席,"1,000円～3,000円",http://tuskbar.jp/
港区,六本木三丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.662494,139.73498,7Sense[Allmix ],ラウンジ,Allmix,03-6804-5196,火-木 24:00-07:00金･土 21:00-08:00※が変更となる可能性があります。必ず事前にご確認下さい。,月 ･ 日,150人,平日 / 男性2500円 女性1000円 (フリードリンク)金･土･祝前日 / 男性2000円 女性1000円 (2ドリンク)※最新の情報とは異なる可能性があります。必ず事前に下記HPをご覧下さい,-
港区,六本木七丁目,六本木,東京都港区六本木7-14-5 六本木大和ビル3F,35.663695,139.731549,TOKYO R Bar&Cafe[House Techno Others Electronic Jazz Disco Lounge ],バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,Closed,17:00-03:00 / 週末: 17:00-05:00,日,22席 (立 40名前後),"2,000円",https://www.facebook.com/tokyoR.bar/
港区,六本木三丁目,六本木,東京都港区六本木3-15-23 B1F,35.662339,139.73524,MILWAUKEE BAR[Trance Allmix 70s 80s 90s ],アミューズメントバー,Allmix ･ Trance ･ 70s ･ 80s ･ 90s,Closed,18:00-02:00 / 週末･祝前 18:00-06:00,月,120人,2800円,-
港区,六本木三丁目,六本木,東京都港区六本木3-15-24 アリエスビル 1F/B1F,35.662608,139.735254,LINE CLUB[HipHop Allmix Reggae R&B ],バー ･ ラウンジ,HipHop ･ R&B ･ Reggae ･ Allmix,Closed,木･金･土 22:00-09:00※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,-,-,2800円,-
港区,六本木三丁目,六本木,東京都港区六本木3-13-12 エルサビル2F,35.662881,139.733778,MAGNET[HipHop House Techno R&B EDM ],レストランバー,HipHop ･ House ･ EDM ･ R&B ･ Techno,Closed,23:00-05:00 (レストラン ～22:00),日,立 100人,男性2000円～ / 女性1000円～,-
港区,六本木五丁目,六本木,東京都港区六本木5-10-25 R棟,35.659381,139.732495,1OAK Tokyo[HipHop R&B Electro ],CLUB,HipHop･ R&B･ Electro･ Moombahton･ etc.,Closed,23:00-05:00事情により変更となる場合あり、事前に要確認,日 ･ 月,1000人 / 席数180,"一般: 5,000円～1階VIP席: 15万円～2階VIPルーム: 40万円～ ※全て目安",-
港区,六本木五丁目,六本木,東京都港区六本木5-18-2 大昌第二ビルB1F,35.66124,139.73727,VARIT.[All Genre ],ライブハウス ･ クラブ,All Genre,Closed,スケジュールをご確認下さい,-,150～160人前後,-,-
港区,六本木三丁目,六本木,東京都港区六本木3-14-12 六本木三丁目ビルB1F,35.662442,139.734308,BLACK HORSE[Allmix ],クラブ ･ ラウンジバー,Allmix,Closed,18:00-05:00 ※変わる可能性あり、要確認,無休,80席 / 床面積 221.3㎡,"4,000円",-
港区,六本木五丁目,六本木,東京都港区六本木5-16-52 インペリアル六本木2号館 S202,35.661648,139.735189,F.Y.B TOKYO[HipHop Allmix EDM ],バー,Allmix ･ EDM ･ HipHop ･ etc.,Closed,21:00又は22:00より ※変動の可能性あり,日,-,"3,000円～",-
港区,西麻布一丁目,-,東京都港区西麻布1-7-2,35.660841,139.726237,A-LIFE[House Allmix R&B EDM Electro ],CLUB,House ･ Allmix ･ R&B ･ EDM ･ Electro ･ etc.,Closed,21:00-05:00,日 ･ 祝,約900人,"7,000円",http://www.e-alife.net/
港区,六本木四丁目,六本木,東京都港区六本木4-11-11 六本木GMビル B1F,35.664284,139.731621,morph-tokyo[Allmix Live Others POPs ],ライブハウス ･ クラブ,Live ･ POPs ･ Others ･ Allmix,Closed,イベント･ライブにより異なる,-,着席100人 / スタンディング250人,-,http://www.morph-tokyo.com/
港区,六本木三丁目,六本木,東京都港区六本木3-11-10 ココ六本木ビル4F,35.663297,139.732952,RAKAN TOKYO[HipHop R&B Latin ],バー,HipHop ･ Latin ･ R&B ･ etc.,Closed,20:00-07:00 ※貸切等により変動あり。要確認,日 ※祝前日の場合、変わる可能性あり,100名前後,-,-
港区,西麻布三丁目,-,東京都港区西麻布3-2-9 サンライズ六本木B1F,35.660147,139.727791,ROPPONGI BASECAMP[Others All Genre ],バー ･ イベントスペース,All Genre ･ Others,03-6434-7800,19:00-24:00 ※イベント開始はそれぞれ異なる,日 ･ 月 (※要確認),約116平米,-,http://basecamp.tokyo/
港区,西麻布四丁目,-,東京都港区西麻布4-1-1 麻布霞町マンションB1F,35.659466,139.72326,MUSE[House Allmix R&B ],CLUB ･ バー,House ･ R&B ･ Allmix,03-5467-1188,22:00～クラブ営業: 水･木･金･土･祝前バー営業: 火※特別なイベントなどでが変更となる可能性があります。必ず事前にご確認下さい。,日 ･ 月 (※祝前日を除く),1000人前後,"入場料金女性: 入場無料男性: [火] 入場無料、[水･木] 2,000円/2D (学生1,000円/1D)、[金･土･祝前] 4,000円/2D (学生1,000円 OFF)",https://muse-web.com/
港区,麻布十番二丁目,-,東京都港区麻布十番2-5-1 マニヴィア麻布十番8F,35.656459,139.73338,The Beach Lounge[R&B Jazz Disco Soul ],ソウルバー ･ ラウンジ,Soul ･ Jazz ･ R&B ･ Disco,03-5772-5745,平日 ･ 土 20:00-04:00DJプレイ 21:00～※変更となる可能性もございます。事前にお確かめ下さい。,日 ･ 祝,-,3800円,http://www.beach-lounge.jp/
港区,西麻布一丁目,-,東京都港区西麻布1-8-10 1F,35.660365,139.724976,PULPLISM[Others ],ハンバーガーショップ,Others,03-3401-8350,11:30-24:00金･土 11:30-02:00日 11:30-18:00,不定,10席,"1,000円～",https://www.instagram.com/pulplism_everyday/
港区,西麻布一丁目,-,東京都港区西麻布1-14-17 WAVE西麻布1F-2F,35.661291,139.723365,Trip Bar[HipHop 80s TOP40 BlackMusic ],ダイニングバー,TOP40 ･ 80s ･ HipHop ･ BlackMusic ･ etc.,Closed,月-土 18:00-04:00 (2階: 05:00まで)日･祝 17:00-24:00,不定,1階: 45席前後 / 2階: 30名以上,"5,000円～",-
港区,西麻布一丁目,-,東京都港区西麻布1-8-4 三保谷硝子B1F,35.660692,139.725915,新世界[Live Others ],ライブハウス ･ イベントスペース,Live ･ Others,03-5772-6767,※イベントスケジュールにより異なる,不定休,50席 / 立100名,-,http://shinsekai9.jp/
港区,麻布十番一丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F-B1F,35.656956,139.735293,1OAK TOKYO[HipHop ],クラブ,HipHop ･ etc.,03-5572-7535,23:00-05:00,月･火･水･木･日,-,"5,000円",http://www.1oaktokyo.com/
港区,麻布十番二丁目,-,東京都港区麻布十番2-8-7 M2K Holdingビル2F,35.655505,139.734828,Cafe del A.R.M[HipHop House Techno Crossover Minimal ],バー,Techno ･ House ･ Minimal ･ Crossover ･ HipHop ･ etc.,Closed,20:00～月-木 ～02:00金・土 ～04:00最新の情報と異なる場合有、要事前確認,日 (事情により日曜営業した場合は、翌日が休み),30名未満,2500円～3500円前後,-
港区,西麻布三丁目,-,東京都港区西麻布3-1-25 B1F,35.660787,139.727554,SuperDeluxe[Live Others All Genre ],CLUB,All Genre ･ Live ･ Others,Closed,※イベントスケジュールにより異なる,不定休,300人,-,http://www.super-deluxe.com/
港区,麻布十番一丁目,-,東京都港区麻布十番1-4-5 深尾ビル1F / B1F,35.656961,139.735278,ELE TOKYO[Allmix Others Dance EDM Electro ],CLUB,Dance Music ･ Electro ･ Allmix ･ EDM ･ Other,03-5572-7535,22:00～,日～水 (祝前日を除く),地階メインフロア: 400人1階ラウンジ: 100人中二階: 30席未満,"6,000円",http://eletokyo.com/
港区,西麻布一丁目,-,東京都港区西麻布1-12-5 1F,35.660112,139.724084,BAR BLUE[Others ],DJバー,Others,03-6804-3193,18:00-05:00,無休,-,-,-
港区,南青山三丁目,-,東京都港区南青山3-18-19 フェスタ表参道ビルB1F,35.66515,139.712913,VENT[House Techno ],CLUB,House ･ Techno ･ etc.,03-6804-6652,23:00～※イベントによって変動の可能性あり金曜や土曜日、祝前日等の営業がメイン,-,300人,3500円前後から,http://vent-tokyo.net/
渋谷区,渋谷四丁目,-,東京都渋谷区渋谷4-5-9 青山ビルディング2F-4F,35.65863,139.709203,AOYAMA HACHI[HipHop House Techno Allmix Jazz Crossover Electro ],ナイトクラブ,House ･ Techno ･ HipHop ･ Allmix ･ Jazz ･ Crossover ･ Electro,03-5766-4887,イベントごとに変動,不定休,200人,"2,000円～",http://www.aoyama-hachi.net/
港区,南青山五丁目,-,東京都港区南青山5-10-1 H2 AOYAMA BLDG B1F･B2F,35.662762,139.711008,fai aoyama[House Techno Electronic Jazz ],CLUB,House ･ Techno ･ Jazz ･ Electronic,03-5466-3181,22:00～ ※イベントにより異なる,-,300人,3000円～,http://www.fai-aoyama.com/
渋谷区,渋谷二丁目,-,東京都渋谷区渋谷2-9-13 AiiA ANNEXビルB1F,35.660892,139.707572,0 Zero[House Techno Others Electronic Crossover ],クラブ ･ カフェ,House ･ Techno ･ Crossover ･ Electronic ･ Others,03-3797-9933,11:30-05:00 / カフェバータイム11:30-21:00 / CLUBタイム22:00-05:00,-,100人前後,-,http://aoyama-zero.com/
港区,赤坂八丁目,赤坂,東京都港区赤阪8-10-22 ニュー新坂ビルB1F,35.670322,139.726881,EDITION[House Techno Dance EDM Electro ],CLUB,House ･ Techno ･ Electro ･ EDM ･ Dance Music,03-6721-1945,-,-,500人,-,http://edition-site.com/top/
